label,id,title,artist,creator,total_length,star_rating,bpm,ar,cs,hit_length,od,genre,circles,sliders,spinners,slider_ratio,base_bpm,total_notes,mean_distance,std_distance,stream_density,kiai_note_ratio,kiai_mean_dist,kiai_note_count,interval_variance,mean_interval_ms,notes_per_second,mean_velocity,mean_sliders_length,rhythm_complexity,burst_density,speed_index,alt_ratio,interval_variance_log,ar_od_ratio
aim_control_maps,3710956,Bloody Mary,KANKAN & FAKE TYPE.,Senjougahara H,219,7.90629,180.0,9.7,4.0,208,9.5,pop,618.0,441.0,0.0,0.42,180.0,1059.0,190.46,115.96,0.09,0.01,215.03,8.0,113765.77,205.42,4.87,0.93,303.78,0.03,0.04,16.2,0.2,11.64,0
aim_control_maps,3749178,Bunny,Tsukino,gazimal,178,8.71667,152.0,8.2,8.2,178,8.2,unspecified,447.0,461.0,0.0,0.51,152.0,908.0,106.79,78.06,0.36,0.43,125.95,386.0,10281.5,195.41,5.12,0.55,250.56,0.02,0.03,54.72,0.1,9.24,0
aim_control_maps,3749486,Break The Silence,Camellia,Weoweet,291,7.56866,220.0,9.8,4.0,290,9.5,electronic,1121.0,516.0,0.0,0.32,220.0,1637.0,109.43,90.9,0.4,0.06,75.13,103.0,35825.23,177.29,5.64,0.62,268.2,0.02,0.03,88.0,0.15,10.49,0
aim_control_maps,3754385,"Autumn In City ""A""",Lamp,ScubDomino,236,4.45637,111.0,8.5,3.5,236,7.0,pop,356.0,354.0,2.0,0.5,111.0,712.0,149.25,83.24,0.28,0.0,0.0,0.0,58806.54,330.76,3.03,0.45,444.47,0.05,0.1,31.08,0.16,10.98,0
aim_control_maps,3877128,Blimp,Louis Cole,Wispy,94,5.78362,152.0,9.4,4.2,88,8.8,pop,200.0,245.0,0.0,0.55,152.0,445.0,143.06,102.12,0.3,0.02,174.11,8.0,141193.75,209.81,4.78,0.68,239.71,0.03,0.03,45.6,0.1,11.86,0
aim_control_maps,3882115,Black U.F.O,Lupin,Mijn Aim Zuigt,195,8.48069,162.0,9.8,4.7,195,10.0,video_game,980.0,346.0,1.0,0.26,162.0,1327.0,126.55,74.65,0.64,0.48,131.14,638.0,14353.17,146.36,6.84,0.86,258.36,0.01,0.03,103.68,0.1,9.57,0
aim_control_maps,3887637,Blimp,Louis Cole,Wispy,94,4.63244,152.0,9.0,3.4,88,8.0,pop,226.0,155.0,0.0,0.41,152.0,381.0,129.84,83.47,0.2,0.0,0.0,0.0,166882.97,245.15,4.09,0.53,338.34,0.04,0.03,30.4,0.18,12.03,0
aim_control_maps,3897459,Balaclava,Arctic Monkeys,-Gavin,133,8.11671,149.5,9.6,4.0,131,9.9,rock,730.0,122.0,0.0,0.14,137.0,852.0,136.6,74.21,0.67,0.0,0.0,0.0,10556.38,154.6,6.48,0.88,309.12,0.05,0.02,91.79,0.05,9.26,0
aim_control_maps,4081860,Assailant in the Night,e-ZUKA,bob,219,7.86778,294.0,9.8,4.0,218,9.0,rock,1227.0,397.0,0.0,0.24,284.0,1624.0,125.86,80.21,0.0,0.33,114.68,538.0,8197.9,134.73,7.43,0.93,217.18,0.05,0.0,0.0,0.17,9.01,0
aim_control_maps,4081950,Battle Against a True Hero,toby fox,deoro,70,6.42906,300.0,9.6,3.8,51,9.5,video_game,344.0,55.0,0.0,0.14,300.0,399.0,96.87,61.04,0.0,0.56,81.35,223.0,5712.6,128.65,7.79,0.75,214.56,0.02,0.0,0.0,0.09,8.65,0
